"ネット名";"ネットクラス";"ネット長 (mm)";"ビア カウント";"ビア長さ (mm)";"配線長 (mm)";"ダイの長さ (mm)";"パッド数";"F.Cu (mm)";"B.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";
"/H8_IOT66A";"Default";16.0863;0;0.0000;16.0863;0.0000;2;16.0863;0.0000;0.0000;0.0000;
"/F6_IOT58B_40P";"Default";14.6410;0;0.0000;14.6410;0.0000;2;14.6410;0.0000;0.0000;0.0000;
"/H7_IOT66B";"Default";17.3864;0;0.0000;17.3864;0.0000;2;17.3864;0.0000;0.0000;0.0000;
"/G7_IOT68A";"Default";18.7523;0;0.0000;18.7523;0.0000;2;18.7523;0.0000;0.0000;0.0000;
"/E8_READY";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/G8_IOT68B";"Default";20.1546;0;0.0000;20.1546;0.0000;2;20.1546;0.0000;0.0000;0.0000;
"/B3_IOB56A_UART_RX";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/F5_IOT72A";"Default";21.6981;0;0.0000;21.6981;0.0000;2;21.6981;0.0000;0.0000;0.0000;
"/C3_IOB56B_UART_TX";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/G5_IOT72B";"Default";23.0638;0;0.0000;23.0638;0.0000;2;23.0638;0.0000;0.0000;0.0000;
"/E3_IOB60A_40P";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/D7_DONE";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/L6_IOT23A_USB_P";"Default";24.9339;0;0.0000;24.9339;0.0000;2;24.9339;0.0000;0.0000;0.0000;
"/K6_IOT23B_USB_N";"Default";26.2892;0;0.0000;26.2892;0.0000;2;26.2892;0.0000;0.0000;0.0000;
"/J11_IOT1A_40P";"Default";18.5138;0;0.0000;18.5138;0.0000;2;18.5138;0.0000;0.0000;0.0000;
"/K7_IOT21A_40P";"Default";29.4307;0;0.0000;29.4307;0.0000;2;29.4307;0.0000;0.0000;0.0000;
"/J10_IOT1B_40P";"Default";19.1585;0;0.0000;19.1585;0.0000;2;19.1585;0.0000;0.0000;0.0000;
"/J7_IOT21B_40P";"Default";30.8550;0;0.0000;30.8550;0.0000;2;30.8550;0.0000;0.0000;0.0000;
"/H11_IOT3A_S1";"Default";19.8795;0;0.0000;19.8795;0.0000;2;19.8795;0.0000;0.0000;0.0000;
"/L7_IOT19A_40P";"Default";32.2792;0;0.0000;32.2792;0.0000;2;32.2792;0.0000;0.0000;0.0000;
