C1:1
C10:1
C11:1
C12:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C3:1
C4:1
C5:1
C6:1
C7:1
C71:1
C72:1
C73:1
C74:1
C77:1
C8:1
C9:1
FB1:1
FB2:1
J1:1
J10:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
L1:1
LED1:1
LED2:1
LED3:1
LED4:1
Q2:1
Q3:1
Q4:1
Q5:1
R1:1
R2:1
R3:1
R43:1
R44:1
R45:1
R46:1
R47:1
R52:1
R53:1
R54:1
R57:1
R58:1
R59:1
R60:1
R61:1
R62:1
R63:1
R64:1
R67:1
R68:1
R69:1
R70:1
R71:1
R72:1
R73:1
R74:1
R75:1
R76:1
R77:1
R78:1
R79:1
R80:1
REF**:4
RN1:1
RN2:1
RN3:1
RN4:1
RN5:1
RN6:1
RN7:1
RN8:1
RN9:1
SW1:1
SW2:1
SW3:1
SW4:1
U1:1
U2:1
U3:1
U4:1
U5:1
X1:1
