key,group_name,group_constraint_set,electrical_constraint_set,length_mil,length_mm,delay_ns
IOT63A,DP29,95,95,412.2,10.4699,
IOT63B,DP29,95,95,412.4,10.4750,
IOT66A,DP30,95,95,323.7,8.2220,
IOT66B,DP30,95,95,324.3,8.2372,
IOT68A,DP31,95,95,357.4,9.0780,
IOT68B,DP31,95,95,357.9,9.0907,
IOT72A,DP32,95,95,721.8,18.3337,
IOT72B,DP32,95,95,722.2,18.3439,
M0_CKN,M0_CK,95,95,358.2,9.0983,
M0_CKP,M0_CK,95,95,358.4,9.1034,
M0_D0N,M0_D0,95,95,413.5,10.5029,
M0_D0P,M0_D0,95,95,413.2,10.4953,
M0_D1N,M0_D1,95,95,385.7,9.7968,
M0_D1P,M0_D1,95,95,385.6,9.7942,
M0_D2N,M0_D2,95,95,330.5,8.3947,
M0_D2P,M0_D2,95,95,330.5,8.3947,
M0_D3N,M0_D3,95,95,302.5,7.6835,
M0_D3P,M0_D3,95,95,302.0,7.6708,
CLK,M0_D3,95,,211.9,5.3823,
DONE,M0_D3,95,,473.5,12.0269,
FLASH_SPI_CLK,M0_D3,95,,576.7,14.6482,
FLASH_SPI_CS_N,M0_D3,95,,492.3,12.5044,
FLASH_SPI_HOLD_N,M0_D3,95,,797.7,20.2616,
FLASH_SPI_MISO,M0_D3,95,,520.6,13.2232,
FLASH_SPI_MOSI,M0_D3,95,,591.2,15.0165,
FLASH_SPI_WP_N,M0_D3,95,,576.8,14.6507,
GND,M0_D3,95,,1312.3,33.3324,
IOB12B,M0_D3,95,,340.0,8.6360,
IOB14B,M0_D3,95,,309.1,7.8511,
IOB24A,M0_D3,95,,306.9,7.7953,
IOB60A,M0_D3,95,,599.0,15.2146,
N16146,M0_D3,95,,52.9,1.3437,
N25595,M0_D3,95,,0.0,0.0000,
N25795,M0_D3,95,,190.7,4.8438,
N25907,M0_D3,95,,0.0,0.0000,
N26039,M0_D3,95,,95.2,2.4181,
N26131,M0_D3,95,,0.0,0.0000,
N26267,M0_D3,95,,93.5,2.3749,
N26431,M0_D3,95,,71.0,1.8034,
N26615,M0_D3,95,,109.6,2.7838,
N26923,M0_D3,95,,69.0,1.7526,
N27107,M0_D3,95,,109.0,2.7686,
READY,M0_D3,95,,480.9,12.2149,
RECONFIG,M0_D3,95,,675.9,17.1679,
TCK,M0_D3,95,,275.4,6.9952,
TDI,M0_D3,95,,278.3,7.0688,
TDO,M0_D3,95,,260.2,6.6091,
TMS,M0_D3,95,,261.7,6.6472,
VCCIO0/1,M0_D3,95,,410.7,10.4318,
VCCIO2/3,M0_D3,95,,656.9,16.6853,
VCCIO6/7,M0_D3,95,,277.1,7.0383,
VCC_5V,M0_D3,95,,832.9,21.1557,
VDD_0V9,M0_D3,95,,807.4,20.5080,
VDD_1V2,M0_D3,95,,699.6,17.7698,
VDD_1V8,M0_D3,95,,658.1,16.7157,
VDD_2V5,M0_D3,95,,321.9,8.1763,
VDD_3V3,M0_D3,95,,1541.3,39.1490,
